"sample" "Description" "Cell.Type" "Race" "Family" "Age" "gender"
"GM18510" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA NA NA "Male"
"GM18486" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y001" NA "Male"
"GM18498" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y003" NA "Male"
"GM18499" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y003" NA "Female"
"GM18501" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y004" NA "Male"
"GM18502" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y004" NA "Female"
"GM18504" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y005" NA "Male"
"GM18505" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y005" NA "Female"
"GM19108" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y006" NA "Female"
"GM18507" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y009" NA "Male"
"GM18508" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y009" NA "Female"
"GM18511" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y010" NA "Female"
"GM18858" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y012" NA "Female"
"GM18516" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y013" NA "Male"
"GM18517" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y013" NA "Female"
"GM18519" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y014" NA "Male"
"GM18520" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y014" NA "Female"
"GM18522" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y016" NA "Male"
"GM18523" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y016" NA "Female"
"GM18870" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y017" NA "Female"
"GM18852" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y018" NA "Female"
"GM18855" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y023" NA "Female"
"GM18861" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y024" NA "Female"
"GM18862" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y024" NA "Male"
"GM18907" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y025" NA "Female"
"GM18909" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y027" NA "Female"
"GM18912" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y028" NA "Female"
"GM18913" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y028" NA "Male"
"GM18916" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y030" NA "Female"
"GM19092" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y040" NA "Male"
"GM19093" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y040" NA "Female"
"GM19101" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y042" NA "Male"
"GM19102" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y042" NA "Female"
"GM19137" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y043" NA "Female"
"GM19138" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y043" NA "Male"
"GM19200" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y045" NA "Male"
"GM19172" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y047" NA "Female"
"GM19204" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y048" NA "Female"
"GM19209" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y050" NA "Female"
"GM19207" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y051" NA "Male"
"GM19160" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y056" NA "Male"
"GM19222" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y058" NA "Female"
"GM19116" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y060" NA "Female"
"GM19119" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y060" NA "Male"
"GM19140" "INTERNATIONAL HAPMAP PROJECT - YORUBA IN IBADAN, NIGERIA" "B-Lymphocyte" NA "Y071" NA "Female"
